Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
1974,1974,5516883,90,De Baarsjes - Oud-West,Apartment,1,1,1
1975,1975,679675,80,Oud-Oost,Apartment,1,3,2
1976,1976,708920,30,De Aker - Nieuw Sloten,House,1,1,1
1977,1977,679838,295,Centrum-Oost,Apartment,1,1,2
1978,1978,3530145,139,De Baarsjes - Oud-West,Apartment,1,1,3
1979,1979,680880,140,Westerpark,Apartment,1,2,2
1980,1980,2595543,140,Oud-Oost,Apartment,1,2,3
1981,1981,3036798,100,Zuid,Apartment,1,4,20
1982,1982,1396297,130,Oud-Oost,Apartment,1,2,3
1983,1983,5020462,115,De Baarsjes - Oud-West,Apartment,1,1,1
1984,1984,746807,120,De Pijp - Rivierenbuurt,Apartment,1,1,1
1985,1985,3800606,130,De Pijp - Rivierenbuurt,Apartment,1,2,4
1986,1986,4544121,140,Oud-Oost,Loft,1,1,2
1987,1987,1464459,140,Westerpark,Boat,1,1,3
1988,1988,1534317,60,Geuzenveld - Slotermeer,Bed & Breakfast,1,1,3
1989,1989,685990,49,Geuzenveld - Slotermeer,House,1,1,3
1990,1990,686018,80,De Baarsjes - Oud-West,Apartment,1,1,3
1991,1991,3724680,150,Centrum-Oost,Apartment,1,0,4
1992,1992,3849875,120,Oud-Oost,Apartment,1,2,1
1993,1993,702120,89,Westerpark,Apartment,1,1,3
1994,1994,687386,74,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,5
1995,1995,1848477,100,De Pijp - Rivierenbuurt,Apartment,1,1,1
1996,1996,1353976,60,Westerpark,Apartment,,1,1
1997,1997,1638957,105,De Pijp - Rivierenbuurt,Apartment,1,1,2
1998,1998,3042134,160,Centrum-West,Apartment,1.5,2,1
1999,1999,2968351,80,Centrum-Oost,Apartment,1,1,1
2000,2000,3466701,125,Westerpark,Apartment,1,1,2
2001,2001,705935,275,Centrum-West,House,2,5,3
2002,2002,744659,95,Oud-Oost,Bed & Breakfast,1,1,1
2003,2003,762825,89,De Pijp - Rivierenbuurt,Apartment,1,1,2
2004,2004,3755677,140,De Pijp - Rivierenbuurt,Apartment,1,1,2
2005,2005,3951251,98,De Baarsjes - Oud-West,Apartment,1,1,2
2006,2006,1069142,150,Centrum-West,Bed & Breakfast,1,1,2
2007,2007,690757,150,Centrum-West,Bed & Breakfast,1,1,2
2008,2008,777850,200,De Pijp - Rivierenbuurt,Apartment,1,2,1
2009,2009,4801843,165,Westerpark,Apartment,1.5,1,2
2010,2010,691510,50,Noord-Oost,House,1,1,2
2011,2011,1559969,100,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,1
2012,2012,691767,100,De Baarsjes - Oud-West,Bed & Breakfast,1,1,2
2013,2013,691885,80,Westerpark,Apartment,1,1,2
2014,2014,893494,180,Centrum-Oost,Apartment,1,1,3
2015,2015,692906,150,Westerpark,Apartment,1,1,2
2016,2016,5384736,250,Centrum-Oost,Boat,1.5,2,2
2017,2017,1563060,135,Centrum-West,Apartment,2,1,2
2018,2018,1776383,48,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,2
2019,2019,4472761,130,De Pijp - Rivierenbuurt,Apartment,1,1,2
2020,2020,5316574,110,Oud-Noord,Boat,1,4,2
2021,2021,3583330,45,Oud-Noord,Boat,0.5,1,1
2022,2022,2967487,40,Oud-Noord,Boat,0,1,1
2023,2023,2095793,90,Centrum-Oost,Apartment,1,1,1
2024,2024,693475,275,Oostelijk Havengebied - Indische Buurt,Boat,2,2,3
2025,2025,693493,100,Centrum-West,House,1,2,4
2026,2026,693675,65,De Baarsjes - Oud-West,Bed & Breakfast,1,1,1
2027,2027,747847,40,De Baarsjes - Oud-West,Apartment,1,1,1
2028,2028,4461610,80,Oostelijk Havengebied - Indische Buurt,Bed & Breakfast,1,1,2
2029,2029,1896889,150,Westerpark,Apartment,1,2,5
2030,2030,837697,230,De Pijp - Rivierenbuurt,Apartment,2,2,3
